Sex,State,Country of origin,count
women,QLD,from Turkey,572
women,QLD,from Britain,105443
women,QLD,from United States of America,7861
women,QLD,from Vietnam,8830
women,QLD,from somewhere else,73852
women,QLD,from Country of birth not stated,117085
men,SA,from Australia,577873
men,SA,from Bosnia and Herzegovina,1053
men,SA,from Cambodia,1317
men,SA,from Canada,1059
men,SA,from China,7240
men,SA,from Croatia,1638
men,SA,from Egypt,663
men,SA,from Fiji,542
men,SA,from Former Yugoslav Republic of Macedonia ,195
men,SA,from Germany,5356
men,SA,from Greece,4804
men,SA,from Hong Kong,1351
men,SA,from India,10461
men,SA,from Indonesia,839
men,SA,from Iraq,745
men,SA,from Ireland,1807
men,SA,from Italy,10401
men,SA,from Japan,442
men,SA,from South Korea,1537
men,SA,from Lebanon,751
men,SA,from Malaysia,3097
men,SA,from Malta,786
men,SA,from Netherlands,3570
men,SA,from New Zealand,6622
men,SA,from Philippines,3106
men,SA,from Poland,2466
men,SA,from Singapore,941
men,SA,from South Africa,2975
men,SA,from South Eastern Europe,1083
men,SA,from Sri Lanka,1336
men,SA,from Thailand,774
men,SA,from Turkey,325
men,SA,from Britain,59401
men,SA,from United States of America,1997
men,SA,from Vietnam,5569
men,SA,from somewhere else,25385
men,SA,from Country of birth not stated,37712
women,SA,from Australia,592915
women,SA,from Bosnia and Herzegovina,1106
women,SA,from Cambodia,1468
women,SA,from Canada,1104
women,SA,from China,8693
women,SA,from Croatia,1494
women,SA,from Egypt,569
women,SA,from Fiji,616
women,SA,from Former Yugoslav Republic of Macedonia ,189
women,SA,from Germany,6052
women,SA,from Greece,4953
women,SA,from Hong Kong,1394
women,SA,from India,8281
women,SA,from Indonesia,1108
women,SA,from Iraq,574
women,SA,from Ireland,1672
women,SA,from Italy,10310
women,SA,from Japan,943
women,SA,from South Korea,1860
women,SA,from Lebanon,707
women,SA,from Malaysia,3853
women,SA,from Malta,783
women,SA,from Netherlands,3711
women,SA,from New Zealand,6228
women,SA,from Philippines,5752
women,SA,from Poland,3082
women,SA,from Singapore,1162
women,SA,from South Africa,3233
women,SA,from South Eastern Europe,1080
women,SA,from Sri Lanka,1334
women,SA,from Thailand,1436
women,SA,from Turkey,300
women,SA,from Britain,62859
women,SA,from United States of America,2032
women,SA,from Vietnam,6457
women,SA,from somewhere else,24976
women,SA,from Country of birth not stated,35067
men,WA,from Australia,702296
men,WA,from Bosnia and Herzegovina,1402
men,WA,from Cambodia,452
men,WA,from Canada,2392
men,WA,from China,7883
men,WA,from Croatia,2629
men,WA,from Egypt,965
men,WA,from Fiji,481
men,WA,from Former Yugoslav Republic of Macedonia ,1514
men,WA,from Germany,5057
men,WA,from Greece,1320
men,WA,from Hong Kong,2335
men,WA,from India,16286
men,WA,from Indonesia,4316
men,WA,from Iraq,1425
men,WA,from Ireland,7703
men,WA,from Italy,10124
men,WA,from Japan,1080
men,WA,from South Korea,1942
men,WA,from Lebanon,552
men,WA,from Malaysia,11411
men,WA,from Malta,543
men,WA,from Netherlands,5034
men,WA,from New Zealand,38046
men,WA,from Philippines,7326
men,WA,from Poland,2474
men,WA,from Singapore,6344
men,WA,from South Africa,17464
men,WA,from South Eastern Europe,1050
men,WA,from Sri Lanka,2881
men,WA,from Thailand,1590
men,WA,from Turkey,599
men,WA,from Britain,115736
men,WA,from United States of America,4624
men,WA,from Vietnam,5890
men,WA,from somewhere else,53526
men,WA,from Country of birth not stated,79486
women,WA,from Australia,705511
women,WA,from Bosnia and Herzegovina,1410
women,WA,from Cambodia,568
women,WA,from Canada,2760
women,WA,from China,8807
women,WA,from Croatia,2519
women,WA,from Egypt,885
women,WA,from Fiji,552
women,WA,from Former Yugoslav Republic of Macedonia ,1475
women,WA,from Germany,5909
women,WA,from Greece,1331
women,WA,from Hong Kong,2423
women,WA,from India,13629
women,WA,from Indonesia,5824
women,WA,from Iraq,1176
