CES3231181301,142.3
CES3231183001,71.1
CES3231190001,157.9
CES3231191001,44.6
CES3231199001,113.6
CES3231300001,207.9
CES3231310001,49.4
CES3231320001,97.3
CES3231321001,56.4
CES3231330001,61.0
CES3231400001,173.0
CES3231410001,94.6
CES3231490001,78.5
CES3231491001,32.5
CES3231499001,46.3
CES3231500001,239.6
CES3231520001,185.6
CES3231521001,79.6
CES3231522001,44.7
CES3231528001,61.2
CES3231590001,54.1
CES3232200001,476.4
CES3232210001,137.5
CES3232212001,101.4
CES3232213001,36.1
CES3232220001,338.3
CES3232221001,180.8
CES3232221101,114.4
CES3232221901,31.3
CES3232222001,72.8
CES3232229001,84.5
CES3232300001,639.7
CES3232311001,586.9
CES3232311301,63.7
CES3232311701,523.0
CES3232312001,52.4
CES3232400001,111.0
CES3232411001,67.4
CES3232419001,43.3
CES3232500001,866.8
CES3232510001,147.8
CES3232513001,64.5
CES3232518001,42.3
CES3232519001,41.3
CES3232520001,107.7
CES3232521101,61.5
CES3232530001,40.1
CES3232540001,287.9
CES3232541201,226.0
CES3232541401,62.0
CES3232550001,67.1
CES3232551001,44.2
CES3232560001,112.0
CES3232561001,55.4
CES3232562001,56.5
CES3232590001,103.8
CES3232600001,804.8
CES3232610001,639.0
CES3232611001,88.3
CES3232611301,49.8
CES3232612001,60.8
CES3232615001,63.9
CES3232616001,54.3
CES3232619001,371.5
CES3232620001,165.8
CES3232621001,65.7
CES3232629001,100.4
CES3232900001,232.6
CES3232910001,169.3
CES3232911001,101.8
CES3232911101,79.1
CES3232914001,67.7
CES3232920001,23.8
CES3232930001,40.0
CES4000000001,26116
CES4142000001,5816.2
CES4142300001,3034.1
CES4142310001,344.8
CES4142311001,126.3
CES4142312001,172.5
CES4142320001,115.0
CES4142321001,46.8
CES4142322001,68.6
CES4142330001,258.9
CES4142331001,139.1
CES4142332001,59.0
CES4142339001,60.8
CES4142340001,642.2
CES4142342001,110.7
CES4142343001,243.3
CES4142345001,179.3
CES4142349001,108.7
CES4142350001,126.5
CES4142360001,344.5
CES4142361001,145.2
CES4142369001,199.3
CES4142370001,250.0
CES4142371001,81.9
CES4142372001,95.7
CES4142374001,72.2
CES4142380001,667.3
CES4142381001,88.0
CES4142382001,102.8
CES4142383001,306.0
CES4142384001,74.5
CES4142385001,63.0
CES4142386001,33.1
CES4142390001,284.7
CES4142391001,48.4
CES4142393001,101.6
CES4142394001,43.7
CES4142399001,90.4
CES4142400001,2022.4
CES4142410001,149.6
CES4142412001,83.9
CES4142413001,65.6
CES4142420001,209.3
CES4142430001,149.4
CES4142432001,30.5
CES4142433001,66.0
CES4142440001,700.3
CES4142441001,218.8
CES4142448001,76.7
CES4142450001,72.1
CES4142451001,41.9
CES4142460001,131.4
CES4142470001,99.7
CES4142480001,149.1
CES4142481001,88.1
CES4142482001,60.9
CES4142490001,359.9
CES4142491001,108.8
CES4142492001,57.9
CES4142493001,51.7
CES4142499001,142.1
CES4142500001,759.7
CES4142511001,56.6
CES4142512001,703.2
CES4200000001,15344.4
CES4244100001,1915.2
CES4244110001,1254.4
CES4244111001,1130.1
CES4244112001,124.5
CES4244120001,169.3
CES4244121001,41.3
CES4244122001,127.7
CES4244130001,491.5
CES4244131001,329.4
CES4244132001,162.6
CES4244200001,578.3
CES4244210001,297.3
CES4244220001,281.5
CES4244221001,101.2
CES4244229001,180.1
CES4244300001,594.1
CES4244314101,72.5
CES4244314201,522.8
CES4244400001,1299.9
CES4244410001,1158.3
CES4244411001,657.7
CES4244412001,41.8
CES4244413001,159.7
CES4244419001,299.6
CES4244420001,141.8
CES4244421001,33.0
CES4244422001,108.3
CES4244500001,2816.9
CES4244510001,2448.3
CES4244511001,2302.6
CES4244512001,145.2
CES4244520001,232.7
CES4244522001,63.7
CES4244523001,41.9
CES4244529001,127.8
CES4244530001,135.8
CES4244600001,962.2
CES4244611001,698.1
CES4244612001,98.7
CES4244613001,69.9
CES4244619001,96.5
CES4244619101,44.0
CES4244619901,51.7
CES4244700001,869.2
CES4244711001,751.7
CES4244719001,117.5
CES4244800001,1432.6
CES4244810001,1082.4
CES4244811001,74.6
CES4244812001,263.9
CES4244813001,72.6
CES4244814001,512.3
CES4244815001,45.9
CES4244819001,114.0
CES4244820001,180.9
CES4244830001,172.6
CES4245100001,602.3
CES4245110001,455.3
CES4245111001,223.7
CES4245112001,138.5
