CES3133999001,132.5(P)
CES3200000001,4471(P)
CES3231100001,1484.4(P)
CES3231110001,55.2(P)
CES3231120001,59.7(P)
CES3231122001,45.7(P)
CES3231123001,14.0(P)
CES3231130001,67.5(P)
CES3231135001,38.3(P)
CES3231140001,172.8(P)
CES3231141001,90.6(P)
CES3231141101,33.3(P)
CES3231141201,57.7(P)
CES3231142001,81.6(P)
CES3231150001,136.0(P)
CES3231151101,53.6(P)
CES3231160001,480.7(P)
CES3231161101,141.5(P)
CES3231161301,116.4(P)
CES3231161501,222.7(P)
CES3231170001,39.9(P)
CES3231180001,290.1(P)
CES3231181001,216.1(P)
CES3231181101,75.8(P)
CES3231181301,140.3(P)
CES3231183001,74.0(P)
CES3231190001,184.9(P)
CES3231191001,50.2(P)
CES3231199001,134.7(P)
CES3231300001,117.8(P)
CES3231310001,28.0(P)
CES3231320001,55.7(P)
CES3231321001,28.0(P)
CES3231330001,34.1(P)
CES3231400001,111.9(P)
CES3231410001,51.8(P)
CES3231490001,60.3(P)
CES3231491001,23.5(P)
CES3231499001,36.7(P)
CES3231500001,139.1(P)
CES3231520001,114.6(P)
CES3231521001,42.8(P)
CES3231522001,26.9(P)
CES3231528001,44.4(P)
CES3231590001,24.2(P)
CES3232200001,377.7(P)
CES3232210001,106.1(P)
CES3232212001,76.9(P)
CES3232213001,29.2(P)
CES3232220001,271.6(P)
CES3232221001,143.6(P)
CES3232221101,89.9(P)
CES3232221901,53.9(P)
CES3232222001,60.9(P)
CES3232229001,67.1(P)
CES3232300001,443.3(P)
CES3232311001,416.0(P)
CES3232311301,66.0(P)
CES3232311701,349.9(P)
CES3232312001,27.1(P)
CES3232400001,111.1(P)
CES3232411001,73.2(P)
CES3232419001,38.3(P)
CES3232500001,794.9(P)
CES3232510001,141.2(P)
CES3232513001,56.2(P)
CES3232518001,37.5(P)
CES3232519001,47.4(P)
CES3232520001,92.1(P)
CES3232521101,56.1(P)
CES3232530001,38.6(P)
CES3232540001,278.8(P)
CES3232541201,207.4(P)
CES3232541401,71.4(P)
CES3232550001,58.5(P)
CES3232551001,38.1(P)
CES3232560001,104.6(P)
CES3232561001,52.7(P)
CES3232562001,52.0(P)
CES3232590001,81.2(P)
CES3232600001,660.4(P)
CES3232610001,531.0(P)
CES3232611001,82.8(P)
CES3232611301,38.2(P)
CES3232612001,52.6(P)
CES3232615001,61.3(P)
CES3232616001,47.0(P)
CES3232619001,286.8(P)
CES3232620001,129.7(P)
CES3232621001,52.4(P)
CES3232629001,77.4(P)
CES3232900001,230.8(P)
CES3232910001,188.8(P)
CES3232911001,91.6(P)
CES3232911101,73.1(P)
CES3232914001,98.3(P)
CES3232920001,13.3(P)
CES3232930001,28.9(P)
CES4000000001,26172(P)
CES4142000001,5796.0(P)
CES4142300001,2895.1(P)
CES4142310001,331.0(P)
CES4142311001,116.7(P)
CES4142312001,166.3(P)
CES4142320001,101.8(P)
CES4142321001,44.1(P)
CES4142322001,57.8(P)
CES4142330001,189.1(P)
CES4142331001,89.5(P)
CES4142332001,44.1(P)
CES4142339001,55.2(P)
CES4142340001,621.8(P)
CES4142342001,91.8(P)
CES4142343001,227.4(P)
CES4142345001,190.4(P)
CES4142349001,112.1(P)
CES4142350001,121.9(P)
CES4142360001,325.0(P)
CES4142361001,153.8(P)
CES4142369001,171.4(P)
CES4142370001,233.1(P)
CES4142371001,76.6(P)
CES4142372001,87.1(P)
CES4142374001,69.4(P)
CES4142380001,667.8(P)
CES4142381001,82.0(P)
CES4142382001,104.1(P)
CES4142383001,309.7(P)
CES4142384001,85.0(P)
CES4142385001,54.5(P)
CES4142386001,32.5(P)
CES4142390001,302.4(P)
CES4142391001,50.2(P)
CES4142393001,117.9(P)
CES4142394001,43.7(P)
CES4142399001,91.1(P)
CES4142400001,1993.2(P)
CES4142410001,118.2(P)
CES4142412001,61.1(P)
CES4142413001,57.0(P)
CES4142420001,186.4(P)
CES4142430001,143.7(P)
CES4142432001,27.2(P)
CES4142433001,71.0(P)
CES4142440001,729.7(P)
CES4142441001,234.0(P)
CES4142448001,88.6(P)
CES4142450001,73.8(P)
CES4142451001,48.6(P)
CES4142460001,128.6(P)
CES4142470001,95.2(P)
CES4142480001,183.1(P)
CES4142481001,103.3(P)
CES4142482001,79.8(P)
CES4142490001,334.2(P)
CES4142491001,115.8(P)
CES4142492001,46.1(P)
CES4142493001,43.8(P)
CES4142499001,128.5(P)
CES4142500001,907.7(P)
CES4142511001,35.6(P)
CES4142512001,872.0(P)
CES4200000001,15272.4(P)
CES4244100001,1823.5(P)
CES4244110001,1157.4(P)
CES4244111001,1012.4(P)
CES4244112001,145.1(P)
CES4244120001,135.7(P)
CES4244121001,33.1(P)
CES4244122001,102.6(P)
CES4244130001,530.5(P)
CES4244131001,350.3(P)
CES4244132001,179.9(P)
CES4244200001,448.5(P)
CES4244210001,212.8(P)
CES4244220001,235.6(P)
CES4244221001,64.7(P)
CES4244229001,170.5(P)
CES4244300001,516.6(P)
CES4244314101,58.7(P)
CES4244314201,456.8(P)
CES4244400001,1223.2(P)
CES4244410001,1074.6(P)
CES4244411001,682.1(P)
CES4244412001,37.9(P)
CES4244413001,144.5(P)
CES4244419001,208.8(P)
CES4244420001,149.3(P)
CES4244421001,31.1(P)
CES4244422001,117.5(P)
CES4244500001,2976.5(P)
CES4244510001,2599.1(P)
CES4244511001,2442.6(P)
CES4244512001,157.0(P)
CES4244520001,229.6(P)
CES4244522001,63.3(P)
CES4244523001,38.6(P)
CES4244529001,126.6(P)
CES4244530001,147.2(P)
CES4244600001,1024.2(P)
CES4244611001,713.9(P)
CES4244612001,129.2(P)
CES4244613001,70.8(P)
CES4244619001,109.4(P)
CES4244619101,49.4(P)
CES4244619901,59.8(P)
CES4244700001,872.4(P)
CES4244711001,764.3(P)
CES4244719001,107.8(P)
CES4244800001,1404.2(P)
CES4244810001,1060.4(P)
CES4244811001,49.5(P)
CES4244812001,297.8(P)
CES4244813001,79.1(P)
CES4244814001,452.0(P)
CES4244815001,65.6(P)
CES4244819001,113.5(P)
CES4244820001,204.9(P)
CES4244830001,141.3(P)
CES4245100001,617.6(P)
CES4245110001,529.7(P)
CES4245111001,280.6(P)
CES4245112001,168.2(P)
CES4245113001,43.6(P)
CES4245114001,29.7(P)
CES4245120001,89.7(P)
CES4245200001,3106.0(P)
CES4245210001,1348.9(P)
CES4245211101,540.5(P)
CES4245211201,808.3(P)
CES4245290001,1757.1(P)
CES4245291001,1371.7(P)
CES4245299001,387.0(P)
CES4245300001,790.3(P)
CES4245310001,63.7(P)
CES4245320001,283.4(P)
CES4245321001,131.3(P)
CES4245322001,151.6(P)
CES4245330001,157.8(P)
CES4245390001,285.0(P)
CES4245391001,116.9(P)
CES4245392001,15.6(P)
CES4245393001,12.6(P)
CES4245399001,139.3(P)
CES4245400001,469.4(P)
CES4245410001,297.9(P)
CES4245411201,158.3(P)
CES4245411301,140.1(P)
CES4245420001,38.2(P)
CES4245430001,132.9(P)
CES4245431001,72.4(P)
CES4245439001,60.7(P)
CES4300000001,4552.7(P)
CES4348100001,453.9(P)
CES4348110001,416.4(P)
CES4348120001,37.8(P)
CES4348200001,233.0(P)
