"","Country","Region","Round","Subject","Year.Test","Mean.Test","StDev.Test","Per5.Test","Per10.Test","Per25.Test","Per75.Test","Per90.Test","Per95.Test","Mean.M.Test","Mean.F.Test","Con.Num.Test","Con.Alg.Test","Con.Meas.Test","Con.Geom.Test","Con.Data.Test","Con.Num.F.Test","Con.Num.M.Test","Con.Alg.F.Test","Con.Alg.M.Test","Con.Meas.F.Test","Con.Meas.M.Test","Con.Geom.F.Test","Con.Geom.M.Test","Con.Data.F.Test","Con.Data.M.Test","Con.SS.Test","Con.SS.M.Test","Con.SS.F.Test","Con.CR.Test","Con.CR.M.Test","Con.CR.F.Test","Con.Quant.Test","Con.Quant.M.Test","Con.Quant.F.Test","Con.Un.Test","Con.Un.M.Test","Con.Un.F.Test"
"1","Australia","Western",1,"Math",NA,0.662828250998204,-0.326981766493218,0.848057801397345,NA,0.750090065106383,2.28325111578332,NA,2.27044646842271,0.572747738468678,0.775339103022363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Hungary","Western",1,"Math",NA,-1.23963117881053,0.828202975967187,-1.34861898536285,NA,-1.40019483443464,1.73261142061611,NA,1.77070951679182,-1.21791636890405,-1.24972783420728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Italy","Western",1,"Math",NA,-0.657619070008581,0.10233110143314,-0.83490928444042,NA,-0.678049564667855,-0.882281305856491,NA,-0.794454487208666,-0.623727859972113,-0.701372657047139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Japan","Eastern",1,"Math",NA,2.40549472195157,-0.259892442047445,2.69489289548402,NA,2.5167825662355,2.50990681579229,NA,2.50970526729272,2.49665860630578,2.3564997276434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Korea","Eastern",1,"Math",NA,1.30109355719571,-0.162464227417758,1.56355961024801,NA,1.36349699341184,0.418651354047406,NA,0.39551749522628,1.39574119424426,1.16793852625723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Norway","Western",1,"Math",NA,-0.890933331910608,-0.558588630014449,-0.780009948250246,NA,-0.838097349484777,-0.616080690704322,NA,-0.624030021192012,-0.91445381945582,-0.857128410972414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Sweden","Western",1,"Math",NA,-0.990196708693938,-0.591064701557678,-0.695208984563628,NA,-0.918647857312728,-0.487858640114196,NA,-0.439841232826231,-1.05482007205598,-0.916125416520729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","United States","Western",1,"Math",NA,0.757238812181619,1.12547437636131,0.563904152705912,NA,0.644762870523531,-0.279373769209627,NA,-0.252523241272201,0.803447559018794,0.704432918032646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Hong Kong SAR","Eastern",1,"Math",NA,1.02279349051279,1.15937523547742,0.802061083623398,NA,1.06737633405546,0.546873404637533,NA,0.444728878552216,1.03499564154357,1.00574654067446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Indonesia","Eastern",1,"Math",NA,-1.82559453839872,-1.18774468370525,-1.91835976252679,NA,-1.84728406162462,-2.4338492809072,NA,-2.48057083334942,-1.81843941117291,-1.82468358511374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
