"","Country","Region","Round","Subject","Year.Test","Mean.Test","StDev.Test","Per5.Test","Per10.Test","Per25.Test","Per75.Test","Per90.Test","Per95.Test","Mean.M.Test","Mean.F.Test","Con.Num.Test","Con.Alg.Test","Con.Meas.Test","Con.Geom.Test","Con.Data.Test","Con.Num.F.Test","Con.Num.M.Test","Con.Alg.F.Test","Con.Alg.M.Test","Con.Meas.F.Test","Con.Meas.M.Test","Con.Geom.F.Test","Con.Geom.M.Test","Con.Data.F.Test","Con.Data.M.Test","Con.SS.Test","Con.SS.M.Test","Con.SS.F.Test","Con.CR.Test","Con.CR.M.Test","Con.CR.F.Test","Con.Quant.Test","Con.Quant.M.Test","Con.Quant.F.Test","Con.Un.Test","Con.Un.M.Test","Con.Un.F.Test"
"485","Australia","Western",2,"Math",NA,0.71322594509773,0.122324610004386,0.638289682691934,0.653585421713905,0.701393483543963,0.762447424359764,0.698384908502619,0.662123997456261,0.600989773866643,0.831117236055792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495","Hungary","Western",2,"Math",NA,-1.20851947956298,-1.52253372891247,-0.470940453554061,-0.615913151938032,-1.03794287516498,-1.43698141842265,-1.43406805040758,-1.40618621262814,-1.15996435334525,-1.26331901150033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498","Italy","Western",2,"Math",NA,-1.28588213017546,0.226207000226011,-1.00546808379676,-1.08524234904128,-1.32540318449415,-1.30335221467099,-1.22996261372938,-1.21193247802818,-1.12354078670438,-1.47964813670608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"499","Japan","Eastern",2,"Math",NA,0.457390817084684,0.131739905719075,0.406226047603599,0.461516063589276,0.52657262375349,0.451886524168373,0.423847968908884,0.415151203787515,0.512036288909837,0.397313504643235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500","Korea","Eastern",2,"Math",NA,2.56057103458886,0.295566639493776,2.54077676816881,2.54554901018,2.5579705605991,2.52162731131908,2.49907221873966,2.47491108508268,2.4784532966805,2.64468489423509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505","Norway","Western",2,"Math",NA,0.721141670489606,-0.810420882165481,1.13653032728294,1.03977761920642,0.791269697052545,0.55319349613089,0.567123934552358,0.487574705838138,0.668757603406926,0.757228034786975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510","Sweden","Western",2,"Math",NA,0.663220266728298,0.680026018691359,0.502340624648708,0.516813595366271,0.59641517899735,0.756780192928058,0.83485528428312,0.88483246167828,0.559740410106201,0.786693260741857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512","Turkey","Western",2,"Math",NA,-1.84934331348471,0.453116509458685,-1.75413321742569,-1.82695224254299,-1.88686174967981,-1.88958251649195,-1.68858415446003,-1.51581473094104,-1.83857675868029,-1.8444488726873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514","United States","Western",2,"Math",NA,0.990493414468041,-1.36812229085245,1.43578722185336,1.33023949827833,1.13314017216835,0.761075543012493,0.73280879186512,0.74100262820845,1.07839241303728,0.887845520521429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","Hong Kong SAR","Eastern",2,"Math",NA,-0.321277049861517,-0.0983080354184955,-0.181550928012968,-0.220516904298591,-0.192744473673126,-0.377117323096012,-0.436383048260109,-0.479533996398755,-0.287169622006942,-0.335453876661782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","Indonesia","Eastern",2,"Math",NA,-1.44150005585727,-1.24195673993651,-1.37252931000756,-1.38540802700342,-1.40585666144161,-1.4180290082625,-1.48607490581457,-1.55633207577338,-1.29486624587114,-1.58879331529371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","Israel","Western",2,"Math",NA,-0.113456505711804,4.19947650030259,-1.13812801883021,-0.910808911116867,-0.508658828039935,0.285316537719921,0.608749341825466,0.775034414926811,-0.0763316799812116,-0.152330702247331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"526","Jordan","Western",2,"Math",NA,1.31683463951096,-1.62327768722919,1.42703536459645,1.47905040842246,1.41842140109745,1.25295334274936,1.03557660379314,0.882167817450072,1.38313639045032,1.26006435981687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530","Lithuania","Eastern",2,"Math",NA,0.687614923528451,-1.21057242088755,1.09011760026527,0.971668823539282,0.829036379178239,0.50949187496768,0.416850637943194,0.37743760220953,0.716377222396,0.650285023643472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533","Qatar","Western",2,"Math",NA,-2.66575590584404,0.289289775683984,-2.751319906251,-2.76461113926289,-2.68761176478086,-2.63884078511654,-2.51537489746451,-2.35696365927809,-2.71365763526745,-2.57984109601366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534","Romania","Eastern",2,"Math",NA,-0.995382486912058,0.0309959474023469,-1.33312955125691,-1.24758221689912,-1.07055779111786,-0.882938568858868,-0.886782100355563,-0.858334867151878,-1.0231377427775,-0.971925605838704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535","Russian Federation","Eastern",2,"Math",NA,0.0994746413467492,1.15267562858609,-0.218096286001311,-0.150409113658273,-0.0387165139282125,0.2202729456665,0.337813164187034,0.44428404716385,0.0726016744891256,0.11333820229583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537","Slovenia","Eastern",2,"Math",NA,1.25635325709895,-0.741061242897715,1.37673474746989,1.34360499718183,1.30346986262439,1.21195055777004,1.10138638002878,0.964250107158594,1.32002535361504,1.17785250970738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538","Chinese Taipei","Eastern",2,"Math",NA,2.2603311187799,3.47794835784091,1.35526112042135,1.53783680908985,1.91659756130068,2.56887095212711,2.71137524036866,2.81492032480157,2.04255352789218,2.4801386512855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539","Thailand","Western",2,"Math",NA,0.0300277161261514,-3.36574155255788,0.60901566530726,0.531569367959525,0.383178494773407,-0.214927329632541,-0.681680602637179,-0.916630983316965,-0.120036193405087,0.173866407969884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540","Tunisia","Western",2,"Math",NA,-1.87556251743855,0.922627687448515,-2.29281941517311,-2.20376755876569,-2.00311157276841,-1.6940975383672,-1.60893410186912,-1.6219613922453,-1.79578293681079,-1.94466698875442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542","Australia","Western",2,"Science",NA,0.656434830746438,1.14742159851577,0.498293948600028,0.559477362175371,0.638537562888888,0.696996330400628,0.643328619834083,0.646539050272743,0.505727525542436,0.85371001551043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"552","Hungary","Western",2,"Science",NA,-0.585467834685433,-0.77091219073224,0.186394278872328,-0.0211723849759442,-0.38429288741984,-0.917923919742495,-0.992145311911699,-1.03349009952464,-0.455939014772877,-0.734986731240749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"555","Italy","Western",2,"Science",NA,-0.548850364884337,0.656928063667792,-0.435867264708585,-0.548547707956633,-0.650905131644208,-0.516778565339463,-0.430658508635912,-0.367424709796338,-0.406548395682913,-0.716081982037468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"556","Japan","Eastern",2,"Science",NA,0.296240017653797,1.37084819086781,0.0248504307162445,0.185620575653238,0.341082500599208,0.312870607667866,0.267177283751101,0.334829601095712,0.272464738474378,0.341075703847722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557","Korea","Eastern",2,"Science",NA,2.151000764294,0.554229773059925,1.79233157389822,1.91038264261596,2.04361235264509,2.31994507619577,2.46410827137313,2.44172719267045,1.93569386573584,2.38434707260958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
